中文译名,原版标题,连载状态,署名作者,已更新话数,已阅读话数
百木田家的旧书生活,百木田家の古書暮らし,0,冬目景,4,4
坂本日常,SAKAMOTO DAYS,0,鈴木祐斗,72,72
彼方的阿斯特拉,彼方のアストラ,1,篠原健太,49,0
冰海战记,ヴィンランド・サガ,0,幸村誠,192,30
测不准的阿波连同学,阿波連さんははかれない,0,水あさと,139,139
彻夜之歌,よふかしのうた,0,コトヤマ,128,128
憧憬成为魔法少女,魔法少女にあこがれて,0,小野中彰大,36,36
处刑少女的生存之道,処刑少女の生きる道,0,佐藤真登/三ツ谷亮,23,23
雌小鬼咖啡厅,メスガキのいる喫茶店,0,Migchip,5,5
地缚少年花子君,地縛少年花子くん,0,あいだいろ,89,60
放学后海堤日记,放課後ていぼう日誌,0,小坂泰之,47,0
格莱普尼尔,グレイプニル,0,武田すん,76,50
孤独摇滚！,ぼっち・ざ・ろっく！,0,はまじあき,39,39
孤身二人的宅圈公主,ふたりぼっちのオタサーの姫,0,クール教信者,18,18
古见同学有交流障碍症,古見さんは、コミュ症です。,0,小田智仁,336,19
怪怪守护神,つぐもも,0,浜田よしかづ,147,10
怪人开发部的黑井津小姐,怪人開発部の黒井津さん,0,水崎弘明,26,26
怪物事变,怪物事変,0,藍本松,65,0
黄金神威,ゴールデンカムイ,1,野田サトル,314,180
极主夫道,極主夫道,0,おおのこうすけ,92,0
贾希大人不气馁！,ジャヒー様はくじけない!,0,昆布わかめ,72,72
尖帽子的炼金工房,とんがり帽子のアトリエ,0,白浜鴎,57,2
间谍过家家,SPY×FAMILY,0,遠藤達哉,62,62
减法累述,ひきざんトートロジー,0,柾塚ちい,68,1
剑风传奇,ベルセルク,1,三浦建太郎,364,0
僵尸百分百,ゾン100 〜ゾンビになるまでにしたい100のこと〜,0,麻生羽呂/高田康太郎,42,1
街角魔族,まちカドまぞく,0,伊藤いづも,82,42
金装的维尔梅,金装のヴェルメイユ ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～,0,天那光汰/梅津葉子,16,0
看得见的女孩,見える子ちゃん,0,泉朝树,37,37
狂赌之渊,賭ケグルイ,0,河本ほむら/尚村透,92,0
狂赌之渊（仮）,賭󠄀ケグルイ（仮）,0,河本ほむら/川村拓,169,0
狂赌之渊双,賭󠄀ケグルイ双,0,河本ほむら/斎木桂,77,0
辣妹与恐龙,ギャルと恐竜,0,森もり子/トミムラコタ,53,53
狼与羊皮纸,新説 狼と香辛料 狼と羊皮紙,0,支倉凍砂/日鳥,11,11
恋爱自毁人偶,恋愛自壊人形 恋するサーティン,0,鍵空とみやき,5,5
猎兽神兵,かつて神だった獣たちへ,0,めいびい,77,0
邻家的吸血鬼小妹,となりの吸血鬼さん,1,甘党,85,85
迷宫饭,ダンジョン飯,0,九井諒子,84,84
明日酱的水手服,明日ちゃんのセーラー服,0,博,58,42
魔法少女网站,魔法少女サイト,1,佐藤健太郎,139,139
魔女守护者,ウィッチウォッチ,0,篠原健太,56,5
脑洞学生会,生徒会にも穴はある！,0,むちまろ,3,3
派对浪客孔明,パリピ孔明,0,四葉夕ト/小川亮,79,33
派遣战斗员,戦闘員、派遣します!,0,暁なつめ/鬼麻正明,36,36
平稳世代的韦驮天们,平穏世代の韋駄天達,0,天原/クール教信者,31,31
骑乘之王,ライドンキング,0,馬場康誌,45,45
请问您今天要来点兔子吗？,ご注文はうさぎですか?,0,Koi,135,0
容易漏出心声的女仆小姐到我家来了,心の声が漏れやすいメイドさん,0,ぎんもく,38,5
若世界处于黑夜,世が夜なら！,0,むちまろ,17,17
涩谷站邻近家族,シブヤニアファミリー,0,久米田康治,10,10
沙雕转生开无双,ポンコツが転生したら存外最強,1,海月れおな,27,27
社畜小姐想被幽灵幼女治愈。,社畜さんは幼女幽霊に癒されたい。,0,有田イマリ,55,55
式守同学不只可爱而已,可愛いだけじゃない式守さん,0,真木蛍五,147,16
天涯若比邻,おとなりの天涯,0,きぃやん,7,7
蜕皮吧！龙崎同学,剥かせて!竜ケ崎さん,0,一智和智,100,100
瓦尼塔斯的手记,ヴァニタスの手記,0,望月淳,57,57
王者天下,キングダム,0,原泰久,716,0
伪物协会,偽物協会,0,白井もも吉,2,2
我与机器妹,僕とロボコ,0,宮崎周平,12,12
我怎么可能成为你的恋人，不行不行！(※不是不可能！？),わたしが恋人になれるわけないじゃん、ムリムリ!（※ムリじゃなかった!?）,0,みかみてれん/むっしゅ,38,1
无能的奈奈,無能なナナ,0,るーすぼーい/古屋庵,72,40
无限之住人,無限の住人,1,沙村広明,206,0
物物语,もののがたり,0,オニグンソウ,70,3
吸血鬼马上死,吸血鬼すぐ死ぬ,0,盆ノ木至,286,1
夏日重现,サマータイムレンダ,1,田中靖規,139,139
贤惠幼妻仙狐小姐,世話やきキツネの仙狐さん,0,リムコロ,80,0
贤者成为了同伴,賢者が仲間になった!,1,アズ,42,42
相合之物,であいもん,0,浅野りん,60,2
邪神与厨二病少女,邪神ちゃんドロップキック,0,ユキヲ,211,0
新人炼金术师的店铺经营,新米錬金術師の店舗経営,0,いつきみずほ/kirero,9,9
炎炎消防队,炎炎ノ消防隊,1,大久保篤,304,100
摇曳露营△,ゆるキャン△,0,あfろ,78,0
药屋少女的呢喃,薬屋のひとりごと,0,日向夏/ねこクラゲ,52,52
异世界舅舅,異世界おじさん,0,殆ど死んでいる,37,37
异兽魔都,ドロヘドロ,1,林田球,167,0
因为过去一起修行剑术的青梅竹马变成了奴隶所以身为S级冒险者的我决定买下并守护她,一緒に剣の修行をした幼馴染が奴隷になっていたので、Sランク冒険者の僕は彼女を買って守ることにした,0,笹塔五郎/湊良弘,1,1
因为家被烧了而自暴自弃的我、用仅剩的钱买了一个黑暗精灵奴隶,家が燃えて人生どうでも良くなったから、残ったなけなしの金でダークエルフの奴隷を買った。,0,陸奥こはる/ユズリハ,11,11
阴晴不定大哥哥,うらみちお兄さん,0,久世岳,59,0
影宅,シャドーハウス,0,ソウマトウ,129,70
悠哉日常大王,のんのんびより,1,あっと,120,0
与变成异世界美少女的大叔一起冒险,異世界美少女受肉おじさんと,0,津留崎優/池澤真,107,107
约定的梦幻岛,約束のネバーランド,1,白井カイウ,185,150
在魔王城说晚安,まおうじょうでおやすみ,0,熊之股鍵次,284,0
在无神的世界进行信仰传播,神無き世界のカミサマ活動,0,朱白あおい/半月板損傷,29,29
章鱼噼的原罪,タコピーの原罪,1,タイザン5,16,16
这个医师超麻烦,このヒーラー、めんどくさい,0,丹念に発酵,41,41
正经魅魔柊小姐,マジメサキュバス柊さん,0,ちると,22,22
直到我不再是我,オレが私になるまで,0,佐藤はつき,52,30
只属于你的奴隶少女,君じゃなきゃダメな奴隷少女,0,青目槙斗,2,2
致不灭的你,不滅のあなたへ,0,大今良時,155,155
柊家吸血鬼事情,柊さんちの吸血事情,0,吉河美希,5,5
总之就是非常可爱,トニカクカワイイ,0,畑健二郎,188,0
组长女儿与照料专员,組長娘と世話係,0,つきや,74,6
最近雇的女仆有点奇怪,最近雇ったメイドが怪しい,0,昆布わかめ,25,25
昨日之歌,イエスタデイをうたって,1,冬目景,112,0
佐贺偶像是传奇外传 THE FIRST ZOMBIE,ゾンビランドサガ 外伝ザ・ファースト・ゾンビィ,0,深川可纯,10,10
LV1魔王与独居废勇者,Ｌｖ１魔王とワンルーム勇者,0,toufu,31,31
OO的女仆小姐,◯◯なメイドさん,0,鮭乃らるかん,8,8
RPG不动产,RPG不動産,0,険持ちよ,32,32
SLOW LOOP,スローループ,0,うちのまいこ,42,35
Slow Start,スロウスタート,0,篤見唯子,97,0
